EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents
ep-12075,COCCOC(C)C,0.32094698733189686,8.320423663,-7.655105422,13.4587
ep-12130,CCC(C)OCOC,0.9649997657802186,7.701636881,-7.939464343,8.9721
ep-12171,CCOCOC(C)C,0.9015997397098757,7.816741019,-7.858918658,66.7452
ep-12439,COC(C)C(C)(C)C,0.9521747891579816,8.176747576,-7.667078429,2.6636
ep-12442,CCC(OC)C(C)C,0.8995964073558659,8.220830012,-7.634969,7.8878
ep-12448,CCC(C)C(C)OC,0.9651617960492769,8.225183833,-7.666534201,2.9872
ep-12468,COC(C)C(C)OC,0.9527252028834023,8.2836883,-7.775379721,14.1924
ep-12509,CCCC(CC)OC,0.9936599621213512,8.178924487,-7.658642901,3.049
ep-12525,CCC(COC)OC,0.974992344498155,8.296205534,-7.695378264,5.2032
ep-12559,COC(C)CC(C)C,0.8793302236629085,8.195795542,-7.642588187,2.8384
ep-12564,CCCCC(C)OC,0.9830163343465284,8.200149363,-7.674153388,3.1022
ep-12574,COCCC(C)OC,0.8994969361740662,8.160692862,-7.732113627,23.7691
ep-12628,CCOCC(C)OC,0.9574935712710811,8.228993426,-7.819190043,9.8583
ep-12788,COC(C)(OC)OC,0.43558738653036144,7.949532553,-7.901640524,5.4197
ep-12941,CCOC(CC)OC,0.5944792588554371,8.199333022,-7.925858653,5.4938
ep-13003,CCCOC(C)OC,0.6560776821339047,8.184638876,-7.948171984,83.4303
ep-13009,CCOC(C)OCC,0.6591447066656655,8.245320254,-7.872524348,23.7068
ep-13112,COCOC(C)OC,0.7344124946810866,8.099739371,-8.07960295,69.7525
ep-13347,COC(OC)C(C)C,0.6708919343141524,8.056201163,-7.937559546,6.1728
ep-13388,CCCC(OC)OC,0.6235628841070979,8.02164271,-7.951981577,5.7144
ep-13433,COCC(OC)OC,0.2704235105826318,8.173754324,-7.784903704,5.4053
ep-15378,CCOCC(C)(C)C,1.0274149015251037,8.561788603,-7.740549155,2.2666
ep-15381,CCCOCC(C)C,1.0237074005432718,8.548999255,-7.745719317,1.6743
ep-15387,CCOCC(C)CC,0.9409664506705073,8.563149172,-7.700004199,7.2903
